table_name,column_name,description,data_type,notes
cash_accounts,as_of_date,Synthetic V1 field for `as_of_date`.,object,Generated by src.generate_dataset
cash_accounts,cash_account_id,Synthetic V1 field for `cash_account_id`.,object,Generated by src.generate_dataset
cash_accounts,account_name,Synthetic V1 field for `account_name`.,object,Generated by src.generate_dataset
cash_accounts,currency,Synthetic V1 field for `currency`.,object,Generated by src.generate_dataset
cash_accounts,entity_id,Synthetic V1 field for `entity_id`.,object,Generated by src.generate_dataset
cash_accounts,balance_usd_m,Synthetic V1 field for `balance_usd_m`.,float64,Generated by src.generate_dataset
cash_accounts,liquidity_bucket,Synthetic V1 field for `liquidity_bucket`.,object,Generated by src.generate_dataset
cash_accounts,purpose,Synthetic V1 field for `purpose`.,object,Generated by src.generate_dataset
cash_accounts,is_operating_cash,Synthetic V1 field for `is_operating_cash`.,bool,Generated by src.generate_dataset
cash_accounts,is_soft_liquidity_eligible,Synthetic V1 field for `is_soft_liquidity_eligible`.,bool,Generated by src.generate_dataset
cash_accounts_post_approved,as_of_date,Synthetic V1 field for `as_of_date`.,object,Generated by src.generate_dataset
cash_accounts_post_approved,cash_account_id,Synthetic V1 field for `cash_account_id`.,object,Generated by src.generate_dataset
cash_accounts_post_approved,account_name,Synthetic V1 field for `account_name`.,object,Generated by src.generate_dataset
cash_accounts_post_approved,currency,Synthetic V1 field for `currency`.,object,Generated by src.generate_dataset
cash_accounts_post_approved,entity_id,Synthetic V1 field for `entity_id`.,object,Generated by src.generate_dataset
cash_accounts_post_approved,balance_usd_m,Synthetic V1 field for `balance_usd_m`.,float64,Generated by src.generate_dataset
cash_accounts_post_approved,liquidity_bucket,Synthetic V1 field for `liquidity_bucket`.,object,Generated by src.generate_dataset
cash_accounts_post_approved,purpose,Synthetic V1 field for `purpose`.,object,Generated by src.generate_dataset
cash_accounts_post_approved,is_operating_cash,Synthetic V1 field for `is_operating_cash`.,bool,Generated by src.generate_dataset
cash_accounts_post_approved,is_soft_liquidity_eligible,Synthetic V1 field for `is_soft_liquidity_eligible`.,bool,Generated by src.generate_dataset
family_entities,entity_id,Synthetic V1 field for `entity_id`.,object,Generated by src.generate_dataset
family_entities,entity_name,Synthetic V1 field for `entity_name`.,object,Generated by src.generate_dataset
family_entities,entity_type,Synthetic V1 field for `entity_type`.,object,Generated by src.generate_dataset
family_entities,jurisdiction,Synthetic V1 field for `jurisdiction`.,object,Generated by src.generate_dataset
family_entities,reporting_currency,Synthetic V1 field for `reporting_currency`.,object,Generated by src.generate_dataset
family_entities,owner_group,Synthetic V1 field for `owner_group`.,object,Generated by src.generate_dataset
family_entities,base_location,Synthetic V1 field for `base_location`.,object,Generated by src.generate_dataset
family_entities,status,Synthetic V1 field for `status`.,object,Generated by src.generate_dataset
fx_rates,date,Synthetic V1 field for `date`.,object,Generated by src.generate_dataset
fx_rates,currency,Synthetic V1 field for `currency`.,object,Generated by src.generate_dataset
fx_rates,usd_to_local_rate,Synthetic V1 field for `usd_to_local_rate`.,float64,Generated by src.generate_dataset
fx_rates,source,Synthetic V1 field for `source`.,object,Generated by src.generate_dataset
portfolio_holdings,holding_id,Synthetic V1 field for `holding_id`.,object,Generated by src.generate_dataset
portfolio_holdings,holding_name,Synthetic V1 field for `holding_name`.,object,Generated by src.generate_dataset
portfolio_holdings,asset_class,Synthetic V1 field for `asset_class`.,object,Generated by src.generate_dataset
portfolio_holdings,sub_asset_class,Synthetic V1 field for `sub_asset_class`.,object,Generated by src.generate_dataset
portfolio_holdings,region_taxonomy,Primary region taxonomy used in dashboard reporting.,object,Generated by src.generate_dataset
portfolio_holdings,country,Synthetic V1 field for `country`.,object,Generated by src.generate_dataset
portfolio_holdings,currency,Synthetic V1 field for `currency`.,object,Generated by src.generate_dataset
portfolio_holdings,ticker,Synthetic V1 field for `ticker`.,object,Generated by src.generate_dataset
portfolio_holdings,final_value_usd_m,Synthetic V1 field for `final_value_usd_m`.,float64,Generated by src.generate_dataset
portfolio_holdings,instrument_type,Synthetic V1 field for `instrument_type`.,object,Generated by src.generate_dataset
portfolio_holdings,position_side_current,Current signed direction of the position.,object,Generated by src.generate_dataset
portfolio_holdings,current_exposure_usd_m,Current net exposure in USD millions.,float64,Generated by src.generate_dataset
portfolio_holdings,current_gross_notional_usd_m,Current gross notional retained separately from market value.,float64,Generated by src.generate_dataset
portfolio_holdings,current_delta_adjusted_exposure_usd_m,Current delta-adjusted exposure for options and derivatives.,float64,Generated by src.generate_dataset
portfolio_holdings,gics_sector,Primary sector taxonomy for V1 reporting.,object,Generated by src.generate_dataset
portfolio_holdings,gics_industry_group,Synthetic V1 field for `gics_industry_group`.,object,Generated by src.generate_dataset
portfolio_holdings,market_cap_bucket,Current reporting market-cap bucket for public and equity-linked assets.,object,Generated by src.generate_dataset
portfolio_holdings,lookthrough_method,Synthetic V1 field for `lookthrough_method`.,object,Generated by src.generate_dataset
portfolio_holdings,classification_status,Synthetic V1 field for `classification_status`.,object,Generated by src.generate_dataset
portfolio_holdings,proxy_mapping_status,Synthetic V1 field for `proxy_mapping_status`.,object,Generated by src.generate_dataset
portfolio_holdings,liquidity_bucket,Synthetic V1 field for `liquidity_bucket`.,object,Generated by src.generate_dataset
portfolio_holdings,data_source,Synthetic V1 field for `data_source`.,object,Generated by src.generate_dataset
portfolio_holdings,notes,Synthetic V1 field for `notes`.,object,Generated by src.generate_dataset
portfolio_holdings,entity_id,Synthetic V1 field for `entity_id`.,object,Generated by src.generate_dataset
portfolio_holdings,region,Synthetic V1 field for `region`.,object,Generated by src.generate_dataset
portfolio_holdings,current_market_cap_bucket,Synthetic V1 field for `current_market_cap_bucket`.,object,Generated by src.generate_dataset
portfolio_holdings,is_public_liquid_asset,Synthetic V1 field for `is_public_liquid_asset`.,bool,Generated by src.generate_dataset
portfolio_holdings,is_private_asset,Synthetic V1 field for `is_private_asset`.,bool,Generated by src.generate_dataset
portfolio_holdings,as_of_date,Synthetic V1 field for `as_of_date`.,object,Generated by src.generate_dataset
portfolio_holdings,allocation_pct,Synthetic V1 field for `allocation_pct`.,float64,Generated by src.generate_dataset
portfolio_monthly_by_holding,date,Synthetic V1 field for `date`.,object,Generated by src.generate_dataset
portfolio_monthly_by_holding,holding_id,Synthetic V1 field for `holding_id`.,object,Generated by src.generate_dataset
portfolio_monthly_by_holding,holding_name,Synthetic V1 field for `holding_name`.,object,Generated by src.generate_dataset
portfolio_monthly_by_holding,asset_class,Synthetic V1 field for `asset_class`.,object,Generated by src.generate_dataset
portfolio_monthly_by_holding,value_usd_m,Synthetic V1 field for `value_usd_m`.,float64,Generated by src.generate_dataset
portfolio_monthly_by_holding,source,Synthetic V1 field for `source`.,object,Generated by src.generate_dataset
portfolio_monthly_summary,date,Synthetic V1 field for `date`.,object,Generated by src.generate_dataset
portfolio_monthly_summary,total_aum_usd_m,Synthetic V1 field for `total_aum_usd_m`.,float64,Generated by src.generate_dataset
portfolio_monthly_summary,public_markets_usd_m,Synthetic V1 field for `public_markets_usd_m`.,float64,Generated by src.generate_dataset
portfolio_monthly_summary,closed_end_private_fund_nav_usd_m,Synthetic V1 field for `closed_end_private_fund_nav_usd_m`.,float64,Generated by src.generate_dataset
portfolio_monthly_summary,cash_liquidity_usd_m,Synthetic V1 field for `cash_liquidity_usd_m`.,float64,Generated by src.generate_dataset
portfolio_monthly_summary,operating_cash_usd_m,Synthetic V1 field for `operating_cash_usd_m`.,float64,Generated by src.generate_dataset
portfolio_monthly_summary,hard_liquidity_usd_m,Synthetic V1 field for `hard_liquidity_usd_m`.,float64,Generated by src.generate_dataset
portfolio_monthly_summary,soft_liquidity_usd_m,Synthetic V1 field for `soft_liquidity_usd_m`.,float64,Generated by src.generate_dataset
portfolio_monthly_summary,source,Synthetic V1 field for `source`.,object,Generated by src.generate_dataset
portfolio_monthly_summary,return_series_label,Synthetic V1 field for `return_series_label`.,object,Generated by src.generate_dataset
portfolio_monthly_summary,source_label,Synthetic V1 field for `source_label`.,object,Generated by src.generate_dataset
portfolio_monthly_summary,portfolio_monthly_return,Synthetic V1 field for `portfolio_monthly_return`.,float64,Generated by src.generate_dataset
position_exposure_history,date,Synthetic V1 field for `date`.,object,Generated by src.generate_dataset
position_exposure_history,position_id,Synthetic V1 field for `position_id`.,object,Generated by src.generate_dataset
position_exposure_history,holding_id,Synthetic V1 field for `holding_id`.,object,Generated by src.generate_dataset
position_exposure_history,holding_name,Synthetic V1 field for `holding_name`.,object,Generated by src.generate_dataset
position_exposure_history,instrument_type,Synthetic V1 field for `instrument_type`.,object,Generated by src.generate_dataset
position_exposure_history,position_side,Synthetic V1 field for `position_side`.,object,Generated by src.generate_dataset
position_exposure_history,market_value_usd_m,Synthetic V1 field for `market_value_usd_m`.,float64,Generated by src.generate_dataset
position_exposure_history,signed_notional_usd_m,Synthetic V1 field for `signed_notional_usd_m`.,float64,Generated by src.generate_dataset
position_exposure_history,gross_notional_usd_m,Synthetic V1 field for `gross_notional_usd_m`.,float64,Generated by src.generate_dataset
position_exposure_history,delta_adjusted_exposure_usd_m,Synthetic V1 field for `delta_adjusted_exposure_usd_m`.,float64,Generated by src.generate_dataset
position_exposure_history,current_exposure_basis,Synthetic V1 field for `current_exposure_basis`.,object,Generated by src.generate_dataset
position_exposure_history,nav_weight,Synthetic V1 field for `nav_weight`.,float64,Generated by src.generate_dataset
position_exposure_history,gross_weight,Synthetic V1 field for `gross_weight`.,float64,Generated by src.generate_dataset
position_exposure_history,net_weight,Synthetic V1 field for `net_weight`.,float64,Generated by src.generate_dataset
position_exposure_history,asset_class,Synthetic V1 field for `asset_class`.,object,Generated by src.generate_dataset
position_exposure_history,sub_asset_class,Synthetic V1 field for `sub_asset_class`.,object,Generated by src.generate_dataset
position_exposure_history,gics_sector_pti,Synthetic V1 field for `gics_sector_pti`.,object,Generated by src.generate_dataset
position_exposure_history,gics_industry_group_pti,Synthetic V1 field for `gics_industry_group_pti`.,object,Generated by src.generate_dataset
position_exposure_history,region_taxonomy_pti,Synthetic V1 field for `region_taxonomy_pti`.,object,Generated by src.generate_dataset
position_exposure_history,market_cap_bucket_pti,Synthetic V1 field for `market_cap_bucket_pti`.,object,Generated by src.generate_dataset
position_exposure_history,liquidity_bucket,Synthetic V1 field for `liquidity_bucket`.,object,Generated by src.generate_dataset
position_exposure_history,underlying_reference,Synthetic V1 field for `underlying_reference`.,object,Generated by src.generate_dataset
position_exposure_history,lookthrough_method,Synthetic V1 field for `lookthrough_method`.,object,Generated by src.generate_dataset
position_exposure_history,classification_status,Synthetic V1 field for `classification_status`.,object,Generated by src.generate_dataset
private_fund_master,fund_id,Synthetic V1 field for `fund_id`.,object,Generated by src.generate_dataset
private_fund_master,fund_name,Synthetic V1 field for `fund_name`.,object,Generated by src.generate_dataset
private_fund_master,asset_class,Synthetic V1 field for `asset_class`.,object,Generated by src.generate_dataset
private_fund_master,strategy,Synthetic V1 field for `strategy`.,object,Generated by src.generate_dataset
private_fund_master,geography,Synthetic V1 field for `geography`.,object,Generated by src.generate_dataset
private_fund_master,vintage_year,Synthetic V1 field for `vintage_year`.,int64,Generated by src.generate_dataset
private_fund_master,currency,Synthetic V1 field for `currency`.,object,Generated by src.generate_dataset
private_fund_master,manager_name,Synthetic V1 field for `manager_name`.,object,Generated by src.generate_dataset
private_fund_master,legal_entity_id,Synthetic V1 field for `legal_entity_id`.,object,Generated by src.generate_dataset
private_fund_master,total_commitment_usd_m,Synthetic V1 field for `total_commitment_usd_m`.,int64,Generated by src.generate_dataset
private_fund_master,status,Synthetic V1 field for `status`.,object,Generated by src.generate_dataset
private_fund_master,investment_geography,Synthetic V1 field for `investment_geography`.,object,Generated by src.generate_dataset
private_fund_master,mandate_sector,Synthetic V1 field for `mandate_sector`.,object,Generated by src.generate_dataset
private_fund_master,sub_strategy,Synthetic V1 field for `sub_strategy`.,object,Generated by src.generate_dataset
private_fund_master,proxy_ticker_or_bucket,Defensible public-market proxy used for risk overlay.,object,Generated by src.generate_dataset
private_fund_master,proxy_mapping_confidence,Synthetic V1 field for `proxy_mapping_confidence`.,float64,Generated by src.generate_dataset
private_fund_monthly,date,Synthetic V1 field for `date`.,object,Generated by src.generate_dataset
private_fund_monthly,fund_id,Synthetic V1 field for `fund_id`.,object,Generated by src.generate_dataset
private_fund_monthly,fund_name,Synthetic V1 field for `fund_name`.,object,Generated by src.generate_dataset
private_fund_monthly,nav_usd_m,Synthetic V1 field for `nav_usd_m`.,float64,Generated by src.generate_dataset
private_fund_monthly,investment_geography,Synthetic V1 field for `investment_geography`.,object,Generated by src.generate_dataset
private_fund_monthly,mandate_sector,Synthetic V1 field for `mandate_sector`.,object,Generated by src.generate_dataset
private_fund_monthly,strategy,Synthetic V1 field for `strategy`.,object,Generated by src.generate_dataset
private_fund_monthly,source,Synthetic V1 field for `source`.,object,Generated by src.generate_dataset
private_fund_positions,as_of_date,Synthetic V1 field for `as_of_date`.,object,Generated by src.generate_dataset
private_fund_positions,fund_id,Synthetic V1 field for `fund_id`.,object,Generated by src.generate_dataset
private_fund_positions,fund_name,Synthetic V1 field for `fund_name`.,object,Generated by src.generate_dataset
private_fund_positions,commitment_usd_m,Synthetic V1 field for `commitment_usd_m`.,int64,Generated by src.generate_dataset
private_fund_positions,paid_in_capital_usd_m,Synthetic V1 field for `paid_in_capital_usd_m`.,int64,Generated by src.generate_dataset
private_fund_positions,unfunded_commitment_usd_m,Synthetic V1 field for `unfunded_commitment_usd_m`.,int64,Generated by src.generate_dataset
private_fund_positions,current_nav_usd_m,Synthetic V1 field for `current_nav_usd_m`.,float64,Generated by src.generate_dataset
private_fund_positions,last_statement_date,Synthetic V1 field for `last_statement_date`.,object,Generated by src.generate_dataset
private_fund_positions,valuation_status,Synthetic V1 field for `valuation_status`.,object,Generated by src.generate_dataset
private_fund_positions,proxy_mapping_flag,Synthetic V1 field for `proxy_mapping_flag`.,bool,Generated by src.generate_dataset
private_fund_positions,asset_class,Synthetic V1 field for `asset_class`.,object,Generated by src.generate_dataset
private_fund_positions,strategy,Synthetic V1 field for `strategy`.,object,Generated by src.generate_dataset
private_fund_positions,sub_strategy,Synthetic V1 field for `sub_strategy`.,object,Generated by src.generate_dataset
private_fund_positions,investment_geography,Synthetic V1 field for `investment_geography`.,object,Generated by src.generate_dataset
private_fund_positions,mandate_sector,Synthetic V1 field for `mandate_sector`.,object,Generated by src.generate_dataset
private_fund_positions,proxy_ticker_or_bucket,Defensible public-market proxy used for risk overlay.,object,Generated by src.generate_dataset
private_fund_positions,proxy_mapping_confidence,Synthetic V1 field for `proxy_mapping_confidence`.,float64,Generated by src.generate_dataset
private_fund_positions,reporting_cadence,Synthetic V1 field for `reporting_cadence`.,object,Generated by src.generate_dataset
public_instrument_classification,holding_id,Synthetic V1 field for `holding_id`.,object,Generated by src.generate_dataset
public_instrument_classification,ticker,Synthetic V1 field for `ticker`.,object,Generated by src.generate_dataset
public_instrument_classification,instrument_type,Synthetic V1 field for `instrument_type`.,object,Generated by src.generate_dataset
public_instrument_classification,underlying_type,Synthetic V1 field for `underlying_type`.,object,Generated by src.generate_dataset
public_instrument_classification,underlying_reference,Synthetic V1 field for `underlying_reference`.,object,Generated by src.generate_dataset
public_instrument_classification,lookthrough_available_flag,Synthetic V1 field for `lookthrough_available_flag`.,bool,Generated by src.generate_dataset
public_instrument_classification,lookthrough_method,Synthetic V1 field for `lookthrough_method`.,object,Generated by src.generate_dataset
public_instrument_classification,benchmark_proxy,Synthetic V1 field for `benchmark_proxy`.,object,Generated by src.generate_dataset
public_instrument_classification,gics_sector_current,Synthetic V1 field for `gics_sector_current`.,object,Generated by src.generate_dataset
public_instrument_classification,gics_industry_group_current,Synthetic V1 field for `gics_industry_group_current`.,object,Generated by src.generate_dataset
public_instrument_classification,region_taxonomy_current,Synthetic V1 field for `region_taxonomy_current`.,object,Generated by src.generate_dataset
public_instrument_classification,market_cap_bucket_current,Synthetic V1 field for `market_cap_bucket_current`.,object,Generated by src.generate_dataset
public_instrument_classification,classification_status,Synthetic V1 field for `classification_status`.,object,Generated by src.generate_dataset
public_instrument_classification,classification_notes,Synthetic V1 field for `classification_notes`.,object,Generated by src.generate_dataset
public_monthly_prices_synthetic,date,Synthetic V1 field for `date`.,object,Generated by src.generate_dataset
public_monthly_prices_synthetic,ticker,Synthetic V1 field for `ticker`.,object,Generated by src.generate_dataset
public_monthly_prices_synthetic,currency,Synthetic V1 field for `currency`.,object,Generated by src.generate_dataset
public_monthly_prices_synthetic,close_price,Synthetic V1 field for `close_price`.,float64,Generated by src.generate_dataset
public_monthly_prices_synthetic,source_type,Synthetic V1 field for `source_type`.,object,Generated by src.generate_dataset
public_monthly_prices_synthetic,note,Synthetic V1 field for `note`.,object,Generated by src.generate_dataset
public_proxy_risk_map,holding_id,Synthetic V1 field for `holding_id`.,object,Generated by src.generate_dataset
public_proxy_risk_map,holding_name,Synthetic V1 field for `holding_name`.,object,Generated by src.generate_dataset
public_proxy_risk_map,ticker_or_proxy,Synthetic V1 field for `ticker_or_proxy`.,object,Generated by src.generate_dataset
public_proxy_risk_map,proxy_name,Synthetic V1 field for `proxy_name`.,object,Generated by src.generate_dataset
public_proxy_risk_map,risk_proxy_bucket,Synthetic V1 field for `risk_proxy_bucket`.,object,Generated by src.generate_dataset
public_proxy_risk_map,asset_class,Synthetic V1 field for `asset_class`.,object,Generated by src.generate_dataset
public_proxy_risk_map,gics_sector,Primary sector taxonomy for V1 reporting.,object,Generated by src.generate_dataset
public_proxy_risk_map,region_taxonomy,Primary region taxonomy used in dashboard reporting.,object,Generated by src.generate_dataset
public_proxy_risk_map,liquidity_bucket,Synthetic V1 field for `liquidity_bucket`.,object,Generated by src.generate_dataset
public_proxy_risk_map,use_in_final_risk_module,Synthetic V1 field for `use_in_final_risk_module`.,bool,Generated by src.generate_dataset
public_proxy_risk_map,mapping_confidence,Synthetic V1 field for `mapping_confidence`.,float64,Generated by src.generate_dataset
public_proxy_risk_map,mapping_method,Synthetic V1 field for `mapping_method`.,object,Generated by src.generate_dataset
public_proxy_risk_map,mapping_notes,Synthetic V1 field for `mapping_notes`.,object,Generated by src.generate_dataset
real_public_market_proxy_map,holding_id,Synthetic V1 field for `holding_id`.,object,Generated by src.generate_dataset
real_public_market_proxy_map,holding_name,Synthetic V1 field for `holding_name`.,object,Generated by src.generate_dataset
real_public_market_proxy_map,ticker_or_proxy,Synthetic V1 field for `ticker_or_proxy`.,object,Generated by src.generate_dataset
real_public_market_proxy_map,use_in_final_risk_module,Synthetic V1 field for `use_in_final_risk_module`.,bool,Generated by src.generate_dataset
real_public_market_proxy_map,current_dataset_source,Synthetic V1 field for `current_dataset_source`.,object,Generated by src.generate_dataset
real_public_market_proxy_map,final_dataset_source,Synthetic V1 field for `final_dataset_source`.,object,Generated by src.generate_dataset
real_public_market_proxy_map,notes,Synthetic V1 field for `notes`.,object,Generated by src.generate_dataset
region_taxonomy_reference,region_code,Synthetic V1 field for `region_code`.,object,Generated by src.generate_dataset
region_taxonomy_reference,region_taxonomy,Primary region taxonomy used in dashboard reporting.,object,Generated by src.generate_dataset
region_taxonomy_reference,parent_region,Synthetic V1 field for `parent_region`.,object,Generated by src.generate_dataset
region_taxonomy_reference,description,Synthetic V1 field for `description`.,object,Generated by src.generate_dataset
risk_free_proxy_monthly,date,Synthetic V1 field for `date`.,object,Generated by src.generate_dataset
risk_free_proxy_monthly,rf_monthly_return,Monthly risk-free return proxy used for Sharpe calculations.,float64,Generated by src.generate_dataset
risk_free_proxy_monthly,rf_annualized_rate,Synthetic V1 field for `rf_annualized_rate`.,float64,Generated by src.generate_dataset
risk_free_proxy_monthly,source_label,Synthetic V1 field for `source_label`.,object,Generated by src.generate_dataset
capital_calls,event_id,Synthetic V1 field for `event_id`.,object,Generated by src.generate_dataset
capital_calls,document_id,Synthetic V1 field for `document_id`.,object,Generated by src.generate_dataset
capital_calls,event_date,Synthetic V1 field for `event_date`.,object,Generated by src.generate_dataset
capital_calls,notice_date,Synthetic V1 field for `notice_date`.,object,Generated by src.generate_dataset
capital_calls,fund_id,Synthetic V1 field for `fund_id`.,object,Generated by src.generate_dataset
capital_calls,raw_fund_name,Synthetic V1 field for `raw_fund_name`.,object,Generated by src.generate_dataset
capital_calls,mapped_fund_name,Synthetic V1 field for `mapped_fund_name`.,object,Generated by src.generate_dataset
