event_id,document_id,event_date,notice_date,fund_id,raw_fund_name,mapped_fund_name,investor_entity_id,payment_date,currency,gross_distribution_usd_m,return_of_capital_usd_m,realized_gain_usd_m,income_usd_m,fees_expenses_usd_m,net_distribution_usd_m,extraction_confidence,validation_status,review_status,source
DIST_PRE_001,,2026-01-20,2026-01-20,PF_HARBOR_PEAK_V,Harbor Peak Partners V,Harbor Peak Partners V,ENT_ATLAS_INV_USD,2026-01-31,USD,2.1,1.7,0.3,0.1,0.0,2.1,1.0,Passed,Approved,historical_event
DIST_MAY_001,PDF_003,2026-05-21,2026-05-21,PF_HARBOR_PEAK_V,Harbor Peak Partners V,Harbor Peak Partners V,ENT_ATLAS_INV_USD,2026-05-31,USD,3.1,2.2,0.7,0.2,0.0,3.1,0.97,Passed,Approved,may_document_extraction
DIST_PRE_002,,2025-07-18,2025-07-18,PF_HARBOUR_CORE_RE,Harbour Core Real Estate Fund,Harbour Core Real Estate Fund,ENT_ATLAS_INV_USD,2025-07-31,USD,1.4,1.0,0.2,0.2,0.0,1.4,1.0,Passed,Approved,historical_event
DIST_PRE_003,,2025-10-16,2025-10-16,PF_CRESCENT_DIRECT_LEND,Crescent Direct Lending Fund,Crescent Direct Lending Fund,ENT_ATLAS_INV_USD,2025-10-31,USD,1.7,1.2,0.3,0.2,0.0,1.7,1.0,Passed,Approved,historical_event
DIST_PRE_004,,2025-12-19,2025-12-19,PF_INFRA_CORE,Evergreen Core Infrastructure Fund,Evergreen Core Infrastructure Fund,ENT_ATLAS_INV_USD,2025-12-31,USD,1.2,0.8,0.2,0.2,0.0,1.2,1.0,Passed,Approved,historical_event
DIST_PRE_005,,2026-03-18,2026-03-18,PF_BLUE_HORIZON_III,Blue Horizon Ventures III,Blue Horizon Ventures III,ENT_ATLAS_INV_USD,2026-03-31,USD,0.9,0.4,0.3,0.2,0.0,0.9,1.0,Passed,Approved,historical_event
DIST_PRE_002,,2025-07-18,2025-07-18,PF_HARBOUR_CORE_RE,Harbour Core Real Estate Fund,Harbour Core Real Estate Fund,ENT_ATLAS_INV_USD,2025-07-31,USD,1.4,1.0,0.2,0.2,0.0,1.4,1.0,Passed,Approved,historical_event
DIST_PRE_003,,2025-10-16,2025-10-16,PF_CRESCENT_DIRECT_LEND,Crescent Direct Lending Fund,Crescent Direct Lending Fund,ENT_ATLAS_INV_USD,2025-10-31,USD,1.7,1.2,0.3,0.2,0.0,1.7,1.0,Passed,Approved,historical_event
DIST_PRE_004,,2025-12-19,2025-12-19,PF_INFRA_CORE,Evergreen Core Infrastructure Fund,Evergreen Core Infrastructure Fund,ENT_ATLAS_INV_USD,2025-12-31,USD,1.2,0.8,0.2,0.2,0.0,1.2,1.0,Passed,Approved,historical_event
DIST_PRE_005,,2026-03-18,2026-03-18,PF_BLUE_HORIZON_III,Blue Horizon Ventures III,Blue Horizon Ventures III,ENT_ATLAS_INV_USD,2026-03-31,USD,0.9,0.4,0.3,0.2,0.0,0.9,1.0,Passed,Approved,historical_event
