date,currency,usd_to_local_rate,source
2023-01-31,USD,0.999624,synthetic_v1_dataset_generator
2023-01-31,HKD,7.797067,synthetic_v1_dataset_generator
2023-01-31,JPY,139.94735,synthetic_v1_dataset_generator
2023-01-31,INR,81.969162,synthetic_v1_dataset_generator
2023-01-31,SGD,1.339496,synthetic_v1_dataset_generator
2023-01-31,CNY,7.09733,synthetic_v1_dataset_generator
2023-01-31,EUR,0.919654,synthetic_v1_dataset_generator
2023-02-28,USD,0.997141,synthetic_v1_dataset_generator
2023-02-28,HKD,7.777704,synthetic_v1_dataset_generator
2023-02-28,JPY,139.599807,synthetic_v1_dataset_generator
2023-02-28,INR,81.765601,synthetic_v1_dataset_generator
2023-02-28,SGD,1.33617,synthetic_v1_dataset_generator
2023-02-28,CNY,7.079705,synthetic_v1_dataset_generator
2023-02-28,EUR,0.91737,synthetic_v1_dataset_generator
2023-03-31,USD,0.994738,synthetic_v1_dataset_generator
2023-03-31,HKD,7.758958,synthetic_v1_dataset_generator
2023-03-31,JPY,139.263355,synthetic_v1_dataset_generator
2023-03-31,INR,81.568537,synthetic_v1_dataset_generator
2023-03-31,SGD,1.332949,synthetic_v1_dataset_generator
2023-03-31,CNY,7.062642,synthetic_v1_dataset_generator
2023-03-31,EUR,0.915159,synthetic_v1_dataset_generator
2023-04-30,USD,0.992481,synthetic_v1_dataset_generator
2023-04-30,HKD,7.741351,synthetic_v1_dataset_generator
2023-04-30,JPY,138.947318,synthetic_v1_dataset_generator
2023-04-30,INR,81.383429,synthetic_v1_dataset_generator
2023-04-30,SGD,1.329924,synthetic_v1_dataset_generator
2023-04-30,CNY,7.046614,synthetic_v1_dataset_generator
2023-04-30,EUR,0.913082,synthetic_v1_dataset_generator
2023-05-31,USD,0.990432,synthetic_v1_dataset_generator
2023-05-31,HKD,7.725368,synthetic_v1_dataset_generator
2023-05-31,JPY,138.660455,synthetic_v1_dataset_generator
2023-05-31,INR,81.215409,synthetic_v1_dataset_generator
2023-05-31,SGD,1.327179,synthetic_v1_dataset_generator
2023-05-31,CNY,7.032066,synthetic_v1_dataset_generator
2023-05-31,EUR,0.911197,synthetic_v1_dataset_generator
2023-06-30,USD,0.988648,synthetic_v1_dataset_generator
2023-06-30,HKD,7.711454,synthetic_v1_dataset_generator
2023-06-30,JPY,138.410715,synthetic_v1_dataset_generator
2023-06-30,INR,81.069133,synthetic_v1_dataset_generator
2023-06-30,SGD,1.324788,synthetic_v1_dataset_generator
2023-06-30,CNY,7.019401,synthetic_v1_dataset_generator
2023-06-30,EUR,0.909556,synthetic_v1_dataset_generator
2023-07-31,USD,0.987179,synthetic_v1_dataset_generator
2023-07-31,HKD,7.699994,synthetic_v1_dataset_generator
2023-07-31,JPY,138.20502,synthetic_v1_dataset_generator
2023-07-31,INR,80.948654,synthetic_v1_dataset_generator
2023-07-31,SGD,1.322819,synthetic_v1_dataset_generator
2023-07-31,CNY,7.008969,synthetic_v1_dataset_generator
2023-07-31,EUR,0.908204,synthetic_v1_dataset_generator
2023-08-31,USD,0.986065,synthetic_v1_dataset_generator
2023-08-31,HKD,7.691305,synthetic_v1_dataset_generator
2023-08-31,JPY,138.04907,synthetic_v1_dataset_generator
2023-08-31,INR,80.857312,synthetic_v1_dataset_generator
2023-08-31,SGD,1.321327,synthetic_v1_dataset_generator
2023-08-31,CNY,7.00106,synthetic_v1_dataset_generator
2023-08-31,EUR,0.90718,synthetic_v1_dataset_generator
2023-09-30,USD,0.985337,synthetic_v1_dataset_generator
2023-09-30,HKD,7.685629,synthetic_v1_dataset_generator
2023-09-30,JPY,137.947187,synthetic_v1_dataset_generator
2023-09-30,INR,80.797638,synthetic_v1_dataset_generator
2023-09-30,SGD,1.320352,synthetic_v1_dataset_generator
2023-09-30,CNY,6.995893,synthetic_v1_dataset_generator
2023-09-30,EUR,0.90651,synthetic_v1_dataset_generator
2023-10-31,USD,0.985016,synthetic_v1_dataset_generator
2023-10-31,HKD,7.683122,synthetic_v1_dataset_generator
2023-10-31,JPY,137.902195,synthetic_v1_dataset_generator
2023-10-31,INR,80.771285,synthetic_v1_dataset_generator
2023-10-31,SGD,1.319921,synthetic_v1_dataset_generator
2023-10-31,CNY,6.993611,synthetic_v1_dataset_generator
2023-10-31,EUR,0.906214,synthetic_v1_dataset_generator
2023-11-30,USD,0.98511,synthetic_v1_dataset_generator
2023-11-30,HKD,7.683855,synthetic_v1_dataset_generator
2023-11-30,JPY,137.91534,synthetic_v1_dataset_generator
2023-11-30,INR,80.778985,synthetic_v1_dataset_generator
2023-11-30,SGD,1.320047,synthetic_v1_dataset_generator
2023-11-30,CNY,6.994278,synthetic_v1_dataset_generator
2023-11-30,EUR,0.906301,synthetic_v1_dataset_generator
2023-12-31,USD,0.985616,synthetic_v1_dataset_generator
2023-12-31,HKD,7.687806,synthetic_v1_dataset_generator
2023-12-31,JPY,137.986259,synthetic_v1_dataset_generator
2023-12-31,INR,80.820523,synthetic_v1_dataset_generator
2023-12-31,SGD,1.320726,synthetic_v1_dataset_generator
2023-12-31,CNY,6.997875,synthetic_v1_dataset_generator
2023-12-31,EUR,0.906767,synthetic_v1_dataset_generator
2024-01-31,USD,0.986521,synthetic_v1_dataset_generator
2024-01-31,HKD,7.694866,synthetic_v1_dataset_generator
2024-01-31,JPY,138.112986,synthetic_v1_dataset_generator
2024-01-31,INR,80.894749,synthetic_v1_dataset_generator
2024-01-31,SGD,1.321939,synthetic_v1_dataset_generator
2024-01-31,CNY,7.004301,synthetic_v1_dataset_generator
2024-01-31,EUR,0.9076,synthetic_v1_dataset_generator
2024-02-29,USD,0.9878,synthetic_v1_dataset_generator
2024-02-29,HKD,7.70484,synthetic_v1_dataset_generator
2024-02-29,JPY,138.292008,synthetic_v1_dataset_generator
2024-02-29,INR,80.999605,synthetic_v1_dataset_generator
2024-02-29,SGD,1.323652,synthetic_v1_dataset_generator
2024-02-29,CNY,7.01338,synthetic_v1_dataset_generator
2024-02-29,EUR,0.908776,synthetic_v1_dataset_generator
