date,total_aum_usd_m,public_markets_usd_m,closed_end_private_fund_nav_usd_m,cash_liquidity_usd_m,operating_cash_usd_m,hard_liquidity_usd_m,soft_liquidity_usd_m,source,return_series_label,source_label,portfolio_monthly_return
2023-01-31,564.7636,272.3934,271.2427,21.1275,11.268,11.268,24.9305,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,
2023-02-28,576.3741,279.94,275.2396,21.1945,11.3037,11.3037,25.0095,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.0205581592014783
2023-03-31,589.061,288.2803,279.509,21.2717,11.3449,11.3449,25.1006,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.02201157199811732
2023-04-30,601.8387,296.6956,283.7877,21.3554,11.3895,11.3895,25.1994,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.021691641442906473
2023-05-31,613.7642,304.4908,287.8326,21.4408,11.4351,11.4351,25.3001,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.019815109928955854
2023-06-30,624.0888,311.1086,291.4574,21.5228,11.4788,11.4788,25.3969,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.016821769663333264
2023-07-31,632.3395,316.1959,294.5472,21.5964,11.5181,11.5181,25.4838,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.013220394277224656
2023-08-31,638.3099,319.6011,297.0514,21.6574,11.5506,11.5506,25.5557,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.009441763483065468
2023-09-30,641.9939,321.3253,298.9661,21.7025,11.5747,11.5747,25.609,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.005771491245866844
2023-10-31,643.4878,321.4452,300.3124,21.7302,11.5894,11.5894,25.6416,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.002326969150329816
2023-11-30,642.9294,320.0666,301.1224,21.7404,11.5948,11.5948,25.6537,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,-0.0008677709196662775
2023-12-31,640.4988,317.324,301.4398,21.735,11.592,11.592,25.6473,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,-0.0037805084041887538
2024-01-31,636.4761,313.4231,301.3355,21.7175,11.5827,11.5827,25.6266,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,-0.006280573827772917
2024-02-29,631.321,308.7012,300.9273,21.6925,11.5693,11.5693,25.5971,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,-0.008099440026106186
2024-03-31,625.7159,303.6585,300.3925,21.6649,11.5546,11.5546,25.5646,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,-0.008878367740024484
2024-04-30,620.5422,298.9364,299.9652,21.6406,11.5417,11.5417,25.5359,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,-0.008268448987791555
2024-05-31,616.7735,295.2387,299.9104,21.6244,11.533,11.533,25.5168,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,-0.006073237243172103
2024-06-30,615.3259,293.221,300.4844,21.6205,11.5309,11.5309,25.5122,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,-0.002347052848411857
2024-07-31,616.8967,293.3788,301.8864,21.6315,11.5368,11.5368,25.5252,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.0025527935684162006
2024-08-31,621.8363,295.9596,304.2176,21.6591,11.5515,11.5515,25.5577,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.008007175269376665
2024-09-30,630.0641,300.909,307.4524,21.7027,11.5748,11.5748,25.6092,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.013231456574664513
2024-10-31,641.054,307.8568,311.4366,21.7606,11.6057,11.6057,25.6775,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.017442511008006756
2024-11-30,653.8813,316.1448,315.907,21.8295,11.6424,11.6424,25.7588,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.020009702770749538
2024-12-31,667.3538,324.9131,320.5354,21.9053,11.6828,11.6828,25.8483,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.020603892480179464
2025-01-31,680.2181,333.2448,324.99,21.9833,11.7244,11.7244,25.9403,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.019276581627316824
2025-02-28,691.3965,340.3415,328.9965,22.0585,11.7645,11.7645,26.029,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.016433552709050003
2025-03-31,700.2093,345.6953,332.3871,22.1269,11.801,11.801,26.1097,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.0127463763556801
2025-04-30,706.4784,349.1715,335.1219,22.185,11.832,11.832,26.1783,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.008953180141994643
2025-05-31,710.4971,350.992,337.274,22.2311,11.8566,11.8566,26.2327,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.005688355086298502
2025-06-30,712.8673,351.6095,338.9932,22.2646,11.8744,11.8744,26.2722,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.0033359742073542087
2025-07-31,714.2897,351.5469,340.4564,22.2864,11.8861,11.8861,26.298,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.0019953222710595853
2025-08-31,715.3875,351.2631,341.8253,22.2991,11.8929,11.8929,26.3129,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.0015369114240342263
2025-09-30,716.6129,351.0827,343.2239,22.3063,11.8967,11.8967,26.3214,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.0017129178242558663
2025-10-31,718.2513,351.2028,344.7364,22.3121,11.8998,11.8998,26.3283,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.002286311061383328
2025-11-30,720.5024,351.7565,346.4254,22.3205,11.9043,11.9043,26.3382,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.0031341398198652115
2025-12-31,723.5684,352.8814,348.3514,22.3356,11.9123,11.9123,26.356,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.004255364034873477
2026-01-31,727.7259,354.7749,350.591,22.36,11.9253,11.9253,26.3848,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.005745828590635105
2026-02-28,733.3179,357.6903,353.232,22.3956,11.9443,11.9443,26.4268,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.007684211871530122
2026-03-31,740.6786,361.8806,356.3554,22.4426,11.9694,11.9694,26.4823,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.010037529426187408
2026-04-30,750.0,367.5,360.0,22.5,12.0,12.0,26.55,synthetic_v1_dataset_generator,full_portfolio_synthetic,synthetic_v1_dataset_generator,0.012584945751099141
