date,position_id,holding_id,holding_name,instrument_type,position_side,market_value_usd_m,signed_notional_usd_m,gross_notional_usd_m,delta_adjusted_exposure_usd_m,current_exposure_basis,nav_weight,gross_weight,net_weight,asset_class,sub_asset_class,gics_sector_pti,gics_industry_group_pti,region_taxonomy_pti,market_cap_bucket_pti,liquidity_bucket,underlying_reference,lookthrough_method,classification_status
2023-01-31,H_2800HK,H_2800HK,Tracker Fund of Hong Kong ETF,etf,long,8.9271,8.9271,8.9271,8.9271,etf,0.015806790664270855,0.015806790664270855,0.015806790664270855,Global Public Equities,Hong Kong Broad Market,Multi-Sector / Diversified,Hong Kong Equity ETF,Greater China,Large Cap,Liquid,2800.HK,lookthrough,lookthrough
2023-01-31,H_ACWI,H_ACWI,iShares MSCI ACWI ETF,etf,long,13.6841,13.6841,13.6841,13.6841,etf,0.02422978393083407,0.02422978393083407,0.02422978393083407,Global Public Equities,Global Equity Core,Multi-Sector / Diversified,Broad Market ETF,Global / Multi-region,Multi Cap,Liquid,ACWI,lookthrough,lookthrough
2023-01-31,H_AGG,H_AGG,iShares Core US Aggregate Bond ETF,etf,long,20.5587,20.5587,20.5587,20.5587,etf,0.03640231063050098,0.03640231063050098,0.03640231063050098,Fixed Income & Liquid Credit,US Aggregate Bonds,Fixed Income / Credit,Aggregate Bonds,North America,Non-classifiable,Liquid,AGG,benchmark_proxy,proxy
2023-01-31,H_BABA,H_BABA,Alibaba ADR,equity,long,5.2075,5.2075,5.2075,5.2075,equity,0.009220672153800279,0.009220672153800279,0.009220672153800279,Global Public Equities,China Internet ADR,Consumer Discretionary,Broadline Retail,Greater China,Large Cap,Liquid,BABA,direct,direct
2023-01-31,H_BIL,H_BIL,SPDR 1-3 Month T-Bill ETF,etf,long,6.8529,6.8529,6.8529,6.8529,etf,0.012134103543500325,0.012134103543500325,0.012134103543500325,Fixed Income & Liquid Credit,Treasury Bills,Fixed Income / Sovereign,Treasury Bills,North America,Non-classifiable,Liquid,BIL,benchmark_proxy,proxy
2023-01-31,H_BRKB,H_BRKB,Berkshire Hathaway Class B,equity,long,7.7059,7.7059,7.7059,7.7059,equity,0.013644470004794925,0.013644470004794925,0.013644470004794925,Global Public Equities,US Quality Compounder,Financials,Multi-Sector Holdings,North America,Mega Cap,Liquid,BRK.B,direct,direct
2023-01-31,H_CASH_HKD,H_CASH_HKD,HKD Working Capital,cash,long,2.2536,2.2536,2.2536,2.2536,cash,0.003990342153779033,0.003990342153779033,0.003990342153779033,Cash & Liquidity,Cash Accounts,Cash,Cash,Global / Multi-region,Non-classifiable,Cash,,direct,direct
2023-01-31,H_CASH_JPY,H_CASH_JPY,JPY Treasury Buffer,cash,long,1.5024,1.5024,1.5024,1.5024,cash,0.002660228102519355,0.002660228102519355,0.002660228102519355,Cash & Liquidity,Cash Accounts,Cash,Cash,Global / Multi-region,Non-classifiable,Cash,,direct,direct
2023-01-31,H_CASH_OPS_USD,H_CASH_OPS_USD,USD Operating Cash,cash,long,11.268,11.268,11.268,11.268,cash,0.019951710768895164,0.019951710768895164,0.019951710768895164,Cash & Liquidity,Cash Accounts,Cash,Cash,Global / Multi-region,Non-classifiable,Cash,,direct,direct
2023-01-31,H_CASH_RESERVE_USD,H_CASH_RESERVE_USD,USD Liquidity Reserve,cash,long,4.2255,4.2255,4.2255,4.2255,cash,0.007481891538335687,0.007481891538335687,0.007481891538335687,Cash & Liquidity,Cash Accounts,Cash,Cash,Global / Multi-region,Non-classifiable,Cash,,direct,direct
2023-01-31,H_CASH_SGD,H_CASH_SGD,SGD Near-Term Reserve,cash,long,1.878,1.878,1.878,1.878,cash,0.0033252851281491934,0.0033252851281491934,0.0033252851281491934,Cash & Liquidity,Cash Accounts,Cash,Cash,Global / Multi-region,Non-classifiable,Cash,,direct,direct
2023-01-31,H_CNYA,H_CNYA,iShares MSCI China A ETF,etf,long,5.9514,5.9514,5.9514,5.9514,etf,0.010537860442847236,0.010537860442847236,0.010537860442847236,Global Public Equities,China A-Shares,Multi-Sector / Diversified,China A-Shares ETF,Greater China,All Cap,Liquid,CNYA,lookthrough,lookthrough
2023-01-31,H_DBC,H_DBC,Broad Commodities ETF Proxy,etf,long,6.43,6.43,6.43,6.43,etf,0.011385294661341487,0.011385294661341487,0.011385294661341487,Hedge Funds / Absolute Return,Commodities,Commodities,Broad Commodities,Global / Multi-region,Non-classifiable,Liquid,DBC,benchmark_proxy,proxy
2023-01-31,H_DBMF,H_DBMF,Managed Futures ETF Proxy,etf,long,8.0375,8.0375,8.0375,8.0375,etf,0.01423161832667686,0.01423161832667686,0.01423161832667686,Hedge Funds / Absolute Return,Managed Futures,Multi-Strategy,Managed Futures,Global / Multi-region,Non-classifiable,Liquid,DBMF,benchmark_proxy,proxy
2023-01-31,H_EEM,H_EEM,iShares MSCI Emerging Markets ETF,etf,long,4.7894,4.7894,4.7894,4.7894,etf,0.008480362402959397,0.008480362402959397,0.008480362402959397,Global Public Equities,Emerging Markets Core,Multi-Sector / Diversified,EM Equity ETF,Global / Multi-region,All Cap,Liquid,EEM,lookthrough,lookthrough
2023-01-31,H_EMB,H_EMB,iShares Emerging Markets Bond ETF,etf,long,6.8529,6.8529,6.8529,6.8529,etf,0.012134103543500325,0.012134103543500325,0.012134103543500325,Fixed Income & Liquid Credit,EM Sovereign / Credit,Fixed Income / Credit,EM Debt,Global / Multi-region,Non-classifiable,Liquid,EMB,benchmark_proxy,proxy
2023-01-31,H_ES_SHORT,H_ES_SHORT,S&P 500 Overlay Short Future,future,short,1.9265,-11.559,11.559,-11.559,signed_notional,0.0034111617675076796,0.020466970605046073,-0.020466970605046073,Global Public Equities,Equity Index Overlay,Multi-Sector / Diversified,Equity Index Future,North America,Multi Cap,Liquid,SPY,underlying_proxy,proxy
2023-01-31,H_EWJ,H_EWJ,iShares MSCI Japan ETF,etf,long,4.8833,4.8833,4.8833,4.8833,etf,0.008646626659366857,0.008646626659366857,0.008646626659366857,Global Public Equities,Japan Equities,Multi-Sector / Diversified,Japan Equity ETF,Japan,Large Cap,Liquid,EWJ,lookthrough,lookthrough
2023-01-31,H_EWS,H_EWS,iShares MSCI Singapore ETF,etf,long,2.0573,2.0573,2.0573,2.0573,etf,0.0036427630959219044,0.0036427630959219044,0.0036427630959219044,Global Public Equities,Southeast Asia Equities,Multi-Sector / Diversified,Southeast Asia Equity ETF,Southeast Asia,Large Cap,Liquid,EWS,lookthrough,lookthrough
2023-01-31,H_EWY,H_EWY,iShares MSCI South Korea ETF,etf,long,3.546,3.546,3.546,3.546,etf,0.006278733261137934,0.006278733261137934,0.006278733261137934,Global Public Equities,Korea Equities,Multi-Sector / Diversified,Korea Equity ETF,Korea,Large Cap,Liquid,EWY,lookthrough,lookthrough
2023-01-31,H_GLD,H_GLD,SPDR Gold Shares,etf,long,7.6629,7.662899999999999,7.662899999999999,7.662899999999999,etf,0.013568331953404929,0.013568331953404927,0.013568331953404927,Hedge Funds / Absolute Return,Gold / Defensive,Commodities / Precious Metals,Gold,Global / Multi-region,Non-classifiable,Liquid,GLD,benchmark_proxy,proxy
2023-01-31,H_GMACRO,H_GMACRO,Global Macro Hedge Fund Sleeve,fund,long,14.4675,14.4675,14.4675,14.4675,fund,0.02561691298801835,0.02561691298801835,0.02561691298801835,Hedge Funds / Absolute Return,Global Macro,Multi-Strategy,Global Macro,Global / Multi-region,Non-classifiable,Semi-Liquid,GMACRO,mandate_proxy,proxy
2023-01-31,H_GOOGL,H_GOOGL,Alphabet Class A,equity,long,5.7794,5.779400000000001,5.779400000000001,5.779400000000001,equity,0.010233308237287247,0.010233308237287249,0.010233308237287249,Global Public Equities,US Mega-cap Technology,Communication Services,Interactive Media,North America,Mega Cap,Liquid,GOOGL,direct,direct
2023-01-31,H_HSI_FUT,H_HSI_FUT,Hang Seng Index Tactical Long Future,future,long,1.8598,6.6952799999999995,6.6952799999999995,6.6952799999999995,signed_notional,0.003293059255235288,0.011855013318847035,0.011855013318847035,Global Public Equities,Greater China Tactical Overlay,Multi-Sector / Diversified,Equity Index Future,Greater China,Large Cap,Liquid,2800.HK,underlying_proxy,proxy
2023-01-31,H_HSTECH,H_HSTECH,Hang Seng TECH ETF-style Exposure,etf,long,7.4392,7.4392,7.4392,7.4392,etf,0.013172237020941151,0.013172237020941151,0.013172237020941151,Global Public Equities,Hong Kong / China Technology,Information Technology,Technology ETF,Greater China,Large Cap,Liquid,3067.HK,lookthrough,lookthrough
2023-01-31,H_HYG,H_HYG,iShares High Yield Corporate Bond ETF,etf,long,7.7095,7.7095,7.7095,7.7095,etf,0.013650844353283393,0.013650844353283393,0.013650844353283393,Fixed Income & Liquid Credit,High Yield Credit,Fixed Income / Credit,High Yield Credit,North America,Non-classifiable,Liquid,HYG,benchmark_proxy,proxy
2023-01-31,H_IGIB,H_IGIB,iShares 5-10 Year Investment Grade Corporate Bond ETF,etf,long,10.2793,10.2793,10.2793,10.2793,etf,0.01820106678263259,0.01820106678263259,0.01820106678263259,Fixed Income & Liquid Credit,Investment Grade Credit,Fixed Income / Credit,Investment Grade Credit,North America,Non-classifiable,Liquid,IGIB,benchmark_proxy,proxy
2023-01-31,H_INDA,H_INDA,iShares MSCI India ETF,etf,long,4.2227,4.2227,4.2227,4.2227,etf,0.007476933711733546,0.007476933711733546,0.007476933711733546,Global Public Equities,India Equities,Multi-Sector / Diversified,India Equity ETF,India,All Cap,Liquid,INDA,lookthrough,lookthrough
2023-01-31,H_JD,H_JD,JD.com ADR,equity,long,3.7196,3.7196,3.7196,3.7196,equity,0.006586118510470576,0.006586118510470576,0.006586118510470576,Global Public Equities,China E-commerce ADR,Consumer Discretionary,Broadline Retail,Greater China,Large Cap,Liquid,JD,direct,direct
