date,fund_id,fund_name,nav_usd_m,investment_geography,mandate_sector,strategy,source
2023-01-31,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,25.7859,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2023-02-28,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,26.1502,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2023-03-31,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,26.5575,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2023-04-30,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,26.9864,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2023-05-31,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,27.415,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2023-06-30,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,27.8236,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2023-07-31,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,28.1964,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2023-08-31,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,28.5215,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2023-09-30,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,28.7903,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2023-10-31,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,28.9969,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2023-11-30,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,29.1382,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2023-12-31,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,29.214,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2024-01-31,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,29.2294,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2024-02-29,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,29.1959,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2024-03-31,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,29.1326,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2024-04-30,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,29.0652,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2024-05-31,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,29.0228,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2024-06-30,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,29.0345,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2024-07-31,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,29.1237,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2024-08-31,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,29.3051,North America,Industrials,Buyout,synthetic_v1_dataset_generator
2024-09-30,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,29.5811,North America,Industrials,Buyout,synthetic_v1_dataset_generator
