date,ticker,currency,close_price,source_type,note
2023-01-31,SPY,USD,127.0,synthetic,synthetic_v1_dataset_generator
2023-02-28,SPY,USD,131.0203,synthetic,synthetic_v1_dataset_generator
2023-03-31,SPY,USD,135.6273,synthetic,synthetic_v1_dataset_generator
2023-04-30,SPY,USD,140.4832,synthetic,synthetic_v1_dataset_generator
2023-05-31,SPY,USD,145.247,synthetic,synthetic_v1_dataset_generator
2023-06-30,SPY,USD,149.6234,synthetic,synthetic_v1_dataset_generator
2023-07-31,SPY,USD,153.3929,synthetic,synthetic_v1_dataset_generator
2023-08-31,SPY,USD,156.4137,synthetic,synthetic_v1_dataset_generator
2023-09-30,SPY,USD,158.5998,synthetic,synthetic_v1_dataset_generator
2023-10-31,SPY,USD,159.8936,synthetic,synthetic_v1_dataset_generator
2023-11-30,SPY,USD,160.2528,synthetic,synthetic_v1_dataset_generator
2023-12-31,SPY,USD,159.6641,synthetic,synthetic_v1_dataset_generator
2024-01-31,SPY,USD,158.1806,synthetic,synthetic_v1_dataset_generator
2024-02-29,SPY,USD,155.9628,synthetic,synthetic_v1_dataset_generator
2024-03-31,SPY,USD,153.3006,synthetic,synthetic_v1_dataset_generator
2024-04-30,SPY,USD,150.5963,synthetic,synthetic_v1_dataset_generator
2024-05-31,SPY,USD,148.3097,synthetic,synthetic_v1_dataset_generator
2024-06-30,SPY,USD,146.8825,synthetic,synthetic_v1_dataset_generator
2024-07-31,SPY,USD,146.6646,synthetic,synthetic_v1_dataset_generator
2024-08-31,SPY,USD,147.8596,synthetic,synthetic_v1_dataset_generator
2024-09-30,SPY,USD,150.4947,synthetic,synthetic_v1_dataset_generator
2024-10-31,SPY,USD,154.4131,synthetic,synthetic_v1_dataset_generator
2024-11-30,SPY,USD,159.2883,synthetic,synthetic_v1_dataset_generator
2024-12-31,SPY,USD,164.667,synthetic,synthetic_v1_dataset_generator
2025-01-31,SPY,USD,170.0402,synthetic,synthetic_v1_dataset_generator
2025-02-28,SPY,USD,174.9373,synthetic,synthetic_v1_dataset_generator
2025-03-31,SPY,USD,179.0174,synthetic,synthetic_v1_dataset_generator
2025-04-30,SPY,USD,182.127,synthetic,synthetic_v1_dataset_generator
2025-05-31,SPY,USD,184.3022,synthetic,synthetic_v1_dataset_generator
2025-06-30,SPY,USD,185.7155,synthetic,synthetic_v1_dataset_generator
2025-07-31,SPY,USD,186.5974,synthetic,synthetic_v1_dataset_generator
2025-08-31,SPY,USD,187.1641,synthetic,synthetic_v1_dataset_generator
2025-09-30,SPY,USD,187.5809,synthetic,synthetic_v1_dataset_generator
2025-10-31,SPY,USD,187.9656,synthetic,synthetic_v1_dataset_generator
2025-11-30,SPY,USD,188.4218,synthetic,synthetic_v1_dataset_generator
2025-12-31,SPY,USD,189.0797,synthetic,synthetic_v1_dataset_generator
2026-01-31,SPY,USD,190.1215,synthetic,synthetic_v1_dataset_generator
2026-02-28,SPY,USD,191.7743,synthetic,synthetic_v1_dataset_generator
2026-03-31,SPY,USD,194.2683,synthetic,synthetic_v1_dataset_generator
2026-04-30,SPY,USD,197.7713,synthetic,synthetic_v1_dataset_generator
2023-01-31,QQQ,USD,118.0,synthetic,synthetic_v1_dataset_generator
2023-02-28,QQQ,USD,121.7354,synthetic,synthetic_v1_dataset_generator
2023-03-31,QQQ,USD,126.0159,synthetic,synthetic_v1_dataset_generator
2023-04-30,QQQ,USD,130.5277,synthetic,synthetic_v1_dataset_generator
2023-05-31,QQQ,USD,134.9539,synthetic,synthetic_v1_dataset_generator
2023-06-30,QQQ,USD,139.0201,synthetic,synthetic_v1_dataset_generator
2023-07-31,QQQ,USD,142.5225,synthetic,synthetic_v1_dataset_generator
2023-08-31,QQQ,USD,145.3293,synthetic,synthetic_v1_dataset_generator
2023-09-30,QQQ,USD,147.3605,synthetic,synthetic_v1_dataset_generator
2023-10-31,QQQ,USD,148.5625,synthetic,synthetic_v1_dataset_generator
2023-11-30,QQQ,USD,148.8963,synthetic,synthetic_v1_dataset_generator
2023-12-31,QQQ,USD,148.3493,synthetic,synthetic_v1_dataset_generator
2024-01-31,QQQ,USD,146.971,synthetic,synthetic_v1_dataset_generator
2024-02-29,QQQ,USD,144.9104,synthetic,synthetic_v1_dataset_generator
2024-03-31,QQQ,USD,142.4368,synthetic,synthetic_v1_dataset_generator
2024-04-30,QQQ,USD,139.9241,synthetic,synthetic_v1_dataset_generator
2024-05-31,QQQ,USD,137.7996,synthetic,synthetic_v1_dataset_generator
2024-06-30,QQQ,USD,136.4735,synthetic,synthetic_v1_dataset_generator
2024-07-31,QQQ,USD,136.271,synthetic,synthetic_v1_dataset_generator
2024-08-31,QQQ,USD,137.3813,synthetic,synthetic_v1_dataset_generator
2024-09-30,QQQ,USD,139.8297,synthetic,synthetic_v1_dataset_generator
2024-10-31,QQQ,USD,143.4704,synthetic,synthetic_v1_dataset_generator
2024-11-30,QQQ,USD,148.0002,synthetic,synthetic_v1_dataset_generator
2024-12-31,QQQ,USD,152.9977,synthetic,synthetic_v1_dataset_generator
2025-01-31,QQQ,USD,157.9901,synthetic,synthetic_v1_dataset_generator
2025-02-28,QQQ,USD,162.5402,synthetic,synthetic_v1_dataset_generator
2025-03-31,QQQ,USD,166.3311,synthetic,synthetic_v1_dataset_generator
2025-04-30,QQQ,USD,169.2204,synthetic,synthetic_v1_dataset_generator
2025-05-31,QQQ,USD,171.2414,synthetic,synthetic_v1_dataset_generator
2025-06-30,QQQ,USD,172.5546,synthetic,synthetic_v1_dataset_generator
2025-07-31,QQQ,USD,173.3739,synthetic,synthetic_v1_dataset_generator
2025-08-31,QQQ,USD,173.9005,synthetic,synthetic_v1_dataset_generator
2025-09-30,QQQ,USD,174.2878,synthetic,synthetic_v1_dataset_generator
2025-10-31,QQQ,USD,174.6452,synthetic,synthetic_v1_dataset_generator
2025-11-30,QQQ,USD,175.0691,synthetic,synthetic_v1_dataset_generator
2025-12-31,QQQ,USD,175.6804,synthetic,synthetic_v1_dataset_generator
2026-01-31,QQQ,USD,176.6484,synthetic,synthetic_v1_dataset_generator
2026-02-28,QQQ,USD,178.184,synthetic,synthetic_v1_dataset_generator
2026-03-31,QQQ,USD,180.5013,synthetic,synthetic_v1_dataset_generator
2026-04-30,QQQ,USD,183.756,synthetic,synthetic_v1_dataset_generator
2023-01-31,ACWI,USD,97.0,synthetic,synthetic_v1_dataset_generator
2023-02-28,ACWI,USD,99.8231,synthetic,synthetic_v1_dataset_generator
2023-03-31,ACWI,USD,102.9442,synthetic,synthetic_v1_dataset_generator
2023-04-30,ACWI,USD,106.1234,synthetic,synthetic_v1_dataset_generator
2023-05-31,ACWI,USD,109.1249,synthetic,synthetic_v1_dataset_generator
2023-06-30,ACWI,USD,111.7511,synthetic,synthetic_v1_dataset_generator
2023-07-31,ACWI,USD,113.8649,synthetic,synthetic_v1_dataset_generator
2023-08-31,ACWI,USD,115.3935,synthetic,synthetic_v1_dataset_generator
2023-09-30,ACWI,USD,116.3154,synthetic,synthetic_v1_dataset_generator
2023-10-31,ACWI,USD,116.6425,synthetic,synthetic_v1_dataset_generator
2023-11-30,ACWI,USD,116.4071,synthetic,synthetic_v1_dataset_generator
2023-12-31,ACWI,USD,115.6624,synthetic,synthetic_v1_dataset_generator
2024-01-31,ACWI,USD,114.4936,synthetic,synthetic_v1_dataset_generator
2024-02-29,ACWI,USD,113.0334,synthetic,synthetic_v1_dataset_generator
2024-03-31,ACWI,USD,111.4687,synthetic,synthetic_v1_dataset_generator
2024-04-30,ACWI,USD,110.0307,synthetic,synthetic_v1_dataset_generator
2024-05-31,ACWI,USD,108.9684,synthetic,synthetic_v1_dataset_generator
2024-06-30,ACWI,USD,108.5118,synthetic,synthetic_v1_dataset_generator
2024-07-31,ACWI,USD,108.8338,synthetic,synthetic_v1_dataset_generator
2024-08-31,ACWI,USD,110.0207,synthetic,synthetic_v1_dataset_generator
2024-09-30,ACWI,USD,112.0532,synthetic,synthetic_v1_dataset_generator
2024-10-31,ACWI,USD,114.8012,synthetic,synthetic_v1_dataset_generator
2024-11-30,ACWI,USD,118.0352,synthetic,synthetic_v1_dataset_generator
2024-12-31,ACWI,USD,121.4565,synthetic,synthetic_v1_dataset_generator
2025-01-31,ACWI,USD,124.7455,synthetic,synthetic_v1_dataset_generator
2025-02-28,ACWI,USD,127.6216,synthetic,synthetic_v1_dataset_generator
2025-03-31,ACWI,USD,129.8975,synthetic,synthetic_v1_dataset_generator
2025-04-30,ACWI,USD,131.5106,synthetic,synthetic_v1_dataset_generator
2025-05-31,ACWI,USD,132.5186,synthetic,synthetic_v1_dataset_generator
2025-06-30,ACWI,USD,133.0644,synthetic,synthetic_v1_dataset_generator
2025-07-31,ACWI,USD,133.3253,synthetic,synthetic_v1_dataset_generator
2025-08-31,ACWI,USD,133.4683,synthetic,synthetic_v1_dataset_generator
2025-09-30,ACWI,USD,133.6243,synthetic,synthetic_v1_dataset_generator
2025-10-31,ACWI,USD,133.886,synthetic,synthetic_v1_dataset_generator
2025-11-30,ACWI,USD,134.3232,synthetic,synthetic_v1_dataset_generator
2025-12-31,ACWI,USD,135.0033,synthetic,synthetic_v1_dataset_generator
2026-01-31,ACWI,USD,136.0057,synthetic,synthetic_v1_dataset_generator
2026-02-28,ACWI,USD,137.4203,synthetic,synthetic_v1_dataset_generator
2026-03-31,ACWI,USD,139.3284,synthetic,synthetic_v1_dataset_generator
2026-04-30,ACWI,USD,141.7703,synthetic,synthetic_v1_dataset_generator
2023-01-31,BRK.B,USD,140.0,synthetic,synthetic_v1_dataset_generator
2023-02-28,BRK.B,USD,144.4319,synthetic,synthetic_v1_dataset_generator
2023-03-31,BRK.B,USD,149.5104,synthetic,synthetic_v1_dataset_generator
2023-04-30,BRK.B,USD,154.8634,synthetic,synthetic_v1_dataset_generator
2023-05-31,BRK.B,USD,160.1149,synthetic,synthetic_v1_dataset_generator
2023-06-30,BRK.B,USD,164.9392,synthetic,synthetic_v1_dataset_generator
2023-07-31,BRK.B,USD,169.0945,synthetic,synthetic_v1_dataset_generator
2023-08-31,BRK.B,USD,172.4245,synthetic,synthetic_v1_dataset_generator
2023-09-30,BRK.B,USD,174.8344,synthetic,synthetic_v1_dataset_generator
2023-10-31,BRK.B,USD,176.2606,synthetic,synthetic_v1_dataset_generator
2023-11-30,BRK.B,USD,176.6566,synthetic,synthetic_v1_dataset_generator
2023-12-31,BRK.B,USD,176.0077,synthetic,synthetic_v1_dataset_generator
2024-01-31,BRK.B,USD,174.3723,synthetic,synthetic_v1_dataset_generator
2024-02-29,BRK.B,USD,171.9275,synthetic,synthetic_v1_dataset_generator
2024-03-31,BRK.B,USD,168.9928,synthetic,synthetic_v1_dataset_generator
2024-04-30,BRK.B,USD,166.0117,synthetic,synthetic_v1_dataset_generator
2024-05-31,BRK.B,USD,163.491,synthetic,synthetic_v1_dataset_generator
2024-06-30,BRK.B,USD,161.9178,synthetic,synthetic_v1_dataset_generator
2024-07-31,BRK.B,USD,161.6775,synthetic,synthetic_v1_dataset_generator
2024-08-31,BRK.B,USD,162.9948,synthetic,synthetic_v1_dataset_generator
2024-09-30,BRK.B,USD,165.8997,synthetic,synthetic_v1_dataset_generator
2024-10-31,BRK.B,USD,170.2191,synthetic,synthetic_v1_dataset_generator
2024-11-30,BRK.B,USD,175.5934,synthetic,synthetic_v1_dataset_generator
2024-12-31,BRK.B,USD,181.5227,synthetic,synthetic_v1_dataset_generator
2025-01-31,BRK.B,USD,187.4459,synthetic,synthetic_v1_dataset_generator
2025-02-28,BRK.B,USD,192.8443,synthetic,synthetic_v1_dataset_generator
2025-03-31,BRK.B,USD,197.342,synthetic,synthetic_v1_dataset_generator
2025-04-30,BRK.B,USD,200.77,synthetic,synthetic_v1_dataset_generator
2025-05-31,BRK.B,USD,203.1677,synthetic,synthetic_v1_dataset_generator
2025-06-30,BRK.B,USD,204.7258,synthetic,synthetic_v1_dataset_generator
2025-07-31,BRK.B,USD,205.6979,synthetic,synthetic_v1_dataset_generator
2025-08-31,BRK.B,USD,206.3226,synthetic,synthetic_v1_dataset_generator
2025-09-30,BRK.B,USD,206.7821,synthetic,synthetic_v1_dataset_generator
2025-10-31,BRK.B,USD,207.2062,synthetic,synthetic_v1_dataset_generator
2025-11-30,BRK.B,USD,207.7091,synthetic,synthetic_v1_dataset_generator
