report_conceptual_table,actual_csv_name,workbook_sheet,notes
capital_calls,capital_calls.csv,capital_calls,Synthetic V1 canonical table
capital_statements,capital_statements.csv,capital_statements,Synthetic V1 canonical table
cash_accounts,cash_accounts.csv,cash_accounts,Synthetic V1 canonical table
cash_accounts_post_approved,cash_accounts_post_approved.csv,cash_accounts_post_approved,Synthetic V1 canonical table
distributions,distributions.csv,distributions,Synthetic V1 canonical table
document_metadata,document_metadata.csv,document_metadata,Synthetic V1 canonical table
document_update_map,document_update_map.csv,document_update_map,Synthetic V1 canonical table
expected_position_updates,expected_position_updates.csv,expected_position_updates,Synthetic V1 canonical table
family_entities,family_entities.csv,family_entities,Synthetic V1 canonical table
fund_aliases,fund_aliases.csv,fund_aliases,Synthetic V1 canonical table
fx_rates,fx_rates.csv,fx_rates,Synthetic V1 canonical table
ground_truth_extractions,ground_truth_extractions.csv,ground_truth_extractions,Synthetic V1 canonical table
newsletter_updates,newsletter_updates.csv,newsletter_updates,Synthetic V1 canonical table
portfolio_holdings,portfolio_holdings.csv,portfolio_holdings,Synthetic V1 canonical table
portfolio_monthly_by_holding,portfolio_monthly_by_holding.csv,portfolio_monthly_by_holding,Synthetic V1 canonical table
portfolio_monthly_summary,portfolio_monthly_summary.csv,portfolio_monthly_summary,Synthetic V1 canonical table
position_exposure_history,position_exposure_history.csv,position_exposure_hist,Synthetic V1 canonical table
private_fund_master,private_fund_master.csv,private_fund_master,Synthetic V1 canonical table
private_fund_monthly,private_fund_monthly.csv,private_fund_monthly,Synthetic V1 canonical table
private_fund_positions,private_fund_positions.csv,private_fund_positions,Synthetic V1 canonical table
public_instrument_classification,public_instrument_classification.csv,public_instrument_class,Synthetic V1 canonical table
public_monthly_prices_synthetic,public_monthly_prices_synthetic.csv,public_monthly_prices_synthetic,Synthetic V1 canonical table
public_proxy_risk_map,public_proxy_risk_map.csv,public_proxy_risk_map,Synthetic V1 canonical table
real_public_market_proxy_map,real_public_market_proxy_map.csv,real_public_market_proxy_map,Synthetic V1 canonical table
region_taxonomy_reference,region_taxonomy_reference.csv,region_taxonomy_ref,Synthetic V1 canonical table
review_queue,review_queue.csv,review_queue,Synthetic V1 canonical table
risk_free_proxy_monthly,risk_free_proxy_monthly.csv,risk_free_proxy_monthly,Synthetic V1 canonical table
validation_results,validation_results.csv,validation_results,Synthetic V1 canonical table
validation_rules,validation_rules.csv,validation_rules,Synthetic V1 canonical table
