mode,document_id,field_name,expected_value,actual_value,matched,warning
intake,PDF_001,fund_name,Northstar Buyout Fund IV,,False,
intake,PDF_001,notice_date,2026-05-10,,False,
intake,PDF_001,due_date,2026-05-24,,False,
intake,PDF_001,amount_due,4.2,,False,
intake,PDF_001,investment_call,3.8,,False,
intake,PDF_001,management_fee,0.25,,False,
intake,PDF_001,partnership_expense,0.15,,False,
intake,PDF_001,unfunded_commitment_after,15.8,,False,
intake,PDF_002,raw_fund_name,SeedSpring SEA VC I,,False,
intake,PDF_002,mapped_fund_name,SeedSpring Southeast Asia VC Fund I,,False,
intake,PDF_002,notice_date,2026-05-17,,False,
intake,PDF_002,due_date,2026-05-22,,False,
intake,PDF_002,amount_due,2.75,,False,
intake,PDF_002,unfunded_commitment_after,MISSING,,True,
intake,PDF_003,fund_name,Harbor Peak Partners V,,False,
intake,PDF_003,payment_date,2026-05-31,,False,
intake,PDF_003,gross_distribution,3.1,,False,
intake,PDF_003,return_of_capital,2.2,,False,
intake,PDF_003,realized_gain,0.7,,False,
intake,PDF_003,income,0.2,,False,
intake,PDF_003,net_distribution,3.1,,False,
intake,PDF_004,fund_name,Northstar Buyout Fund IV,,False,
intake,PDF_004,period_end,2026-03-31,,False,
intake,PDF_004,beginning_nav,31.4,,False,
intake,PDF_004,contributions,1.8,,False,
intake,PDF_004,fees_expenses,-0.25,,False,
intake,PDF_004,realized_gain_loss,0.85,,False,
intake,PDF_004,unrealized_gain_loss,1.2,,False,
intake,PDF_004,ending_nav,35.0,,False,
intake,PDF_004,paid_in_capital,40.0,,False,
intake,PDF_004,unfunded_commitment,20.0,,False,
intake,PDF_005,fund_name,LionRock Asia Private Credit Fund,LionRock Asia Private Credit Fund,True,
intake,PDF_005,period_end,2026-03-31,2026-03-31,True,
intake,PDF_005,beginning_nav,18.0,18.0,True,
intake,PDF_005,contributions,0.5,0.5,True,
intake,PDF_005,distributions,-0.2,-0.2,True,
intake,PDF_005,fees_expenses,-0.1,-0.1,True,
intake,PDF_005,realized_gain_loss,0.4,0.4,True,
intake,PDF_005,unrealized_gain_loss,0.5,0.5,True,
intake,PDF_005,stated_ending_nav,20.0,20.0,True,
intake,PDF_005,calculated_ending_nav,19.1,19.1,True,
intake,PDF_005,paid_in_plus_unfunded,19.0,19.0,True,
intake,PDF_005,commitment,20.0,20.0,True,
intake,PDF_006,fund_name,Blue Horizon Ventures III,,False,
intake,PDF_006,period,Q1 2026 / April 2026 update,,False,
intake,PDF_006,market_themes,AI infrastructure; enterprise software efficiency; slower late-stage exit market,,False,
intake,PDF_006,new_investments,Two new Series B investments,,False,
intake,PDF_006,risk_notes,Exit timing; revenue multiple compression; follow-on financing risk,,False,
intake,PDF_006,expected_capital_activity,USD 1.0m to 2.0m in Q3 2026,,False,
