ticker,annualized_volatility,max_drawdown,data_source,start_date,end_date
2800.HK,0.2030731708847744,-0.47189787134064254,real,2016-06-30,2026-04-30
3067.HK,0.35021073458880136,-0.6942886329811138,real,2016-06-30,2026-04-30
ACWI,0.14961151933328018,-0.24966275542778027,real,2016-06-30,2026-04-30
AGG,0.05270538580382026,-0.17159921480915485,real,2016-06-30,2026-04-30
BABA,0.41829130619085264,-0.7913288966907353,real,2016-06-30,2026-04-30
BIL,0.008395482405720845,-0.0013877518724787485,real,2016-06-30,2026-04-30
BRK.B,0.18232379851630326,-0.24337653800258952,real,2016-06-30,2026-04-30
CNYA,0.2135058709673968,-0.43348066441703226,real,2016-06-30,2026-04-30
DBC,0.17176096168905572,-0.37778949882046076,real,2016-06-30,2026-04-30
DBMF,0.14553508324768089,-0.18996537249816503,real,2016-06-30,2026-04-30
EEM,0.17410463156996508,-0.36271532840884746,real,2016-06-30,2026-04-30
EMB,0.10312232170010746,-0.2685700508092892,real,2016-06-30,2026-04-30
EWJ,0.14370343300190408,-0.2886398979282867,real,2016-06-30,2026-04-30
EWS,0.17875119327152542,-0.32071874937140876,real,2016-06-30,2026-04-30
EWY,0.28984142217535774,-0.4809426047445585,real,2016-06-30,2026-04-30
GLD,0.1470863846417629,-0.18076897085359867,real,2016-06-30,2026-04-30
GOOGL,0.26992846999453324,-0.4040365292446073,real,2016-06-30,2026-04-30
HYG,0.07569931719861978,-0.15097423195298876,real,2016-06-30,2026-04-30
IGIB,0.06890098488901317,-0.18964530945304015,real,2016-06-30,2026-04-30
INDA,0.17723449751042328,-0.33988696647920447,real,2016-06-30,2026-04-30
JD,0.4400180844009203,-0.7500087177521593,real,2016-06-30,2026-04-30
LQD,0.08422050906905479,-0.23241240945957142,real,2016-06-30,2026-04-30
MSFT,0.20628315563546798,-0.30528473839523007,real,2016-06-30,2026-04-30
NVDA,0.4693085662545917,-0.6283167209118409,real,2016-06-30,2026-04-30
PDD,0.6562348750641002,-0.774244377489102,real,2016-06-30,2026-04-30
QAI,0.06254723428872017,-0.13772616709352203,real,2016-06-30,2026-04-30
QQQ,0.18945811840394805,-0.3265214626894303,real,2016-06-30,2026-04-30
SPY,0.1576085491318834,-0.23972219300365039,real,2016-06-30,2026-04-30
TLT,0.13663075095812222,-0.4771779273508425,real,2016-06-30,2026-04-30
VNQ,0.18360674278467595,-0.3212233012058717,real,2016-06-30,2026-04-30
